Dependency=Cooling Unavailable Days	Dependency=Federal Poverty Level	Dependency=Geometry Building Type RECS	Option=1 day	Option=1 month	Option=1 week	Option=2 weeks	Option=3 days	Option=3 months	Option=Never	Option=Year round	source_count	source_weight	fallback_count	fallback_weight
Never	0-100%	Single-Family Detached	0.0152067	0.00997682	0.0166974	0.0109519	0.0144608	0.00588969	0.921488	0.00532918	800	4.99469e+06	800	4.99469e+06
Year round	0-100%	Single-Family Detached	0.00062779	0	0	0	0.00062779	0.2481	0.35722	0.393425	8	36696.1	24	99775.7
1 day	100-150%	Single-Family Detached	0.250099	0	0.0825617	0	0.221629	0	0.445711	0	16	62042.9	16	62042.9
1 month	100-150%	Single-Family Detached	0.138326	0.0393669	0.0115614	0.110619	0.0427937	0.0111444	0.642636	0.00355297	38	130311	38	130311
1 week	100-150%	Single-Family Detached	0.0983456	0	0.0351366	0	0.302092	0	0.564426	0	27	83632.6	27	83632.6
2 weeks	100-150%	Single-Family Detached	0.0104187	0.00224936	0.0307777	0.0505654	0.155829	0	0.661302	0.088858	29	78157.3	29	78157.3
3 days	100-150%	Single-Family Detached	0.133317	0	0.0467683	0	0.402736	0	0.417179	0	32	104294	32	104294
3 months	100-150%	Single-Family Detached	0.0504066	0.0403837	0.0447978	0.168071	0.0504066	0.13879	0.505266	0.00187822	27	67103.5	27	67103.5
Never	100-150%	Single-Family Detached	0.0061405	0.00664805	0.00600405	0.00361606	0.0111996	0.00578416	0.956016	0.00459152	1029	4.55031e+06	1029	4.55031e+06
Year round	100-150%	Single-Family Detached	0.000993002	0	0	0	0.000993002	0.241405	0.437276	0.319333	8	35518.9	16	63079.6
1 day	150-200%	Single-Family Detached	0.317968	0	0	0.00320583	0.207567	0	0.471259	0	19	35728.3	19	35728.3
1 month	150-200%	Single-Family Detached	0	0.166601	0.0758559	0.0647388	0.069191	0.0416482	0.581906	5.90344e-05	28	75825.2	28	75825.2
1 week	150-200%	Single-Family Detached	0.0660604	0	0.0811431	0	0.0936514	0	0.759145	0	29	82801.7	29	82801.7
2 weeks	150-200%	Single-Family Detached	0.00869639	0.0264289	0.0864155	0.0746843	0.132011	0	0.671764	0	25	84332.6	25	84332.6
3 days	150-200%	Single-Family Detached	0.16737	0	0.0271631	0.000874681	0.231813	0	0.572779	0	41	130949	41	130949
3 months	150-200%	Single-Family Detached	0	0.0687833	0.0341873	0.0830279	0	0.338632	0.304185	0.171185	19	51505.1	19	51505.1
Never	150-200%	Single-Family Detached	0.00447609	0.00407383	0.0059755	0.00152566	0.00775708	0.00206341	0.970318	0.00381066	1322	5.38359e+06	1322	5.38359e+06
Year round	150-200%	Single-Family Detached	0.000993002	0	0	0	0.000993002	0.241405	0.437276	0.319333	8	27560.7	16	63079.6
1 day	200-300%	Single-Family Detached	0.133533	0.00672261	0.0488682	0.0437835	0.144113	0.000591055	0.62239	0	30	76805.8	30	76805.8
1 month	200-300%	Single-Family Detached	0.0617389	0.0556392	0.107214	0.112709	0.0584649	0.0492092	0.553719	0.00130606	47	145907	47	145907
1 week	200-300%	Single-Family Detached	0.146629	0.026841	0.0319983	0.0392243	0.232841	0	0.522466	0	45	135841	45	135841
2 weeks	200-300%	Single-Family Detached	0.0348575	0.0722189	0.142519	0.0347989	0.216896	0.0103393	0.48837	0	23	59191.1	23	59191.1
3 days	200-300%	Single-Family Detached	0.0902452	0.0013426	0.0133755	0.0168814	0.142521	0.0219717	0.702617	0.0110459	69	199203	69	199203
3 months	200-300%	Single-Family Detached	0.0329999	0.0608922	0	0.134779	0.0427668	0.0487232	0.679838	0	34	86237.6	34	86237.6
Never	200-300%	Single-Family Detached	0.00101167	0.000958036	0.00205363	0.0023968	0.0037797	0.000641836	0.988551	0.00060748	3046	1.14614e+07	3046	1.14614e+07
Year round	200-300%	Single-Family Detached	0	0.0179291	0	0	0	0.00230693	0.612082	0.367682	14	45298.6	14	45298.6
1 day	300-400%	Single-Family Detached	0.248115	0.0641916	0	0.04194	0.174629	0.00558142	0.465543	0	22	68499	22	68499
