Dependency=State	Dependency=Water Heater Fuel	Option=Electric Heat Pump, 50 gal, 3.45 UEF	Option=Electric Heat Pump, 66 gal, 3.35 UEF	Option=Electric Heat Pump, 80 gal, 3.45 UEF	Option=Electric Premium	Option=Electric Standard	Option=Electric Tankless	Option=FIXME Fuel Oil Indirect	Option=Fuel Oil Premium	Option=Fuel Oil Standard	Option=Natural Gas Premium	Option=Natural Gas Standard	Option=Natural Gas Tankless	Option=Other Fuel	Option=Propane Premium	Option=Propane Standard	Option=Propane Tankless	Option=Solar Thermal, 40 sqft, East, Roof Pitch, Electric Standard Backup	Option=Solar Thermal, 40 sqft, North, Roof Pitch, Electric Standard Backup	Option=Solar Thermal, 40 sqft, South, Roof Pitch, Electric Standard Backup	Option=Solar Thermal, 40 sqft, South, Roof Pitch, Fuel Oil Standard Backup	Option=Solar Thermal, 40 sqft, South, Roof Pitch, Natural Gas Standard Backup	Option=Solar Thermal, 40 sqft, South, Roof Pitch, Propane Standard Backup	Option=Solar Thermal, 40 sqft, West, Roof Pitch, Electric Standard Backup	Option=Wood	source_count	source_weight	fallback_count	fallback_weight
MN	Natural Gas	0	0	0	0	0	0	0	0	0	0.143216	0.771212	0.0855721	0	0	0	0	0	0	0	0	0	0	0	0	198	1.32387e+06	198	1.32387e+06
MN	Other Fuel	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	13	65186.3
MN	Propane	0	0	0	0	0	0	0	0	0	0	0	0	0	0.110674	0.787759	0.101567	0	0	0	0	0	0	0	0	10	66543.2	10	66543.2
MN	Solar Thermal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.227327	0.0246546	0.573234	0.00403585	0.00710105	0.0289493	0.134698	0	0	0	75	228487
MN	Wood	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	7312.33	20	113914
MO	Electricity	0.005	0	0	0.116528	0.816381	0.062091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	132	1.14017e+06	132	1.14017e+06
MO	Fuel Oil	0	0	0	0	0	0	0.285263	0.169796	0.54494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	604	2.62044e+06
MO	Natural Gas	0	0	0	0	0	0	0	0	0	0.132219	0.822102	0.0456791	0	0	0	0	0	0	0	0	0	0	0	0	155	1.2211e+06	155	1.2211e+06
MO	Other Fuel	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	13	65186.3
MO	Propane	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0885494	0.798514	0.112936	0	0	0	0	0	0	0	0	9	68550.4	96	383196
MO	Solar Thermal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.227327	0.0246546	0.573234	0.00403585	0.00710105	0.0289493	0.134698	0	0	0	75	228487
MO	Wood	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	20	113914
MS	Electricity	0.005	0	0	0.186367	0.79507	0.0135636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	703896	103	703896
MS	Fuel Oil	0	0	0	0	0	0	0.0539114	0.0644831	0.881606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	93083.8
MS	Natural Gas	0	0	0	0	0	0	0	0	0	0.0509534	0.868416	0.0806306	0	0	0	0	0	0	0	0	0	0	0	0	53	309113	53	309113
MS	Other Fuel	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	13	65186.3
MS	Propane	0	0	0	0	0	0	0	0	0	0	0	0	0	0.263551	0.331757	0.404692	0	0	0	0	0	0	0	0	12	71525.3	12	71525.3
MS	Solar Thermal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.227327	0.0246546	0.573234	0.00403585	0.00710105	0.0289493	0.134698	0	0	0	75	228487
MS	Wood	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	20	113914
MT	Electricity	0.005	0	0	0.165579	0.783072	0.0463494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	179134	65	179134
MT	Fuel Oil	0	0	0	0	0	0	0.254068	0.235338	0.510595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4652.03	47	71070.5
MT	Natural Gas	0	0	0	0	0	0	0	0	0	0.200749	0.661464	0.137786	0	0	0	0	0	0	0	0	0	0	0	0	95	224735	95	224735
MT	Other Fuel	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	13	65186.3
MT	Propane	0	0	0	0	0	0	0	0	0	0	0	0	0	0.16692	0.6694	0.16368	0	0	0	0	0	0	0	0	9	21530.6	40	146537
MT	Solar Thermal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.22673	0.0245899	0.571729	0	0.012253	0.0303538	0.134345	0	2	3277.45	61	132417
MT	Wood	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	20	113914
NC	Electricity	0.005	0	0	0.224349	0.738125	0.0325265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	344	2.99537e+06	344	2.99537e+06
NC	Fuel Oil	0	0	0	0	0	0	0.0697573	0.0834363	0.846806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	71939.1
NC	Natural Gas	0	0	0	0	0	0	0	0	0	0.222316	0.67476	0.102924	0	0	0	0	0	0	0	0	0	0	0	0	120	898153	120	898153
NC	Other Fuel	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	13	65186.3
NC	Propane	0	0	0	0	0	0	0	0	0	0	0	0	0	0.178973	0.292899	0.528128	0	0	0	0	0	0	0	0	14	108482	14	108482
NC	Solar Thermal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.227327	0.0246546	0.573234	0.00403585	0.00710105	0.0289493	0.134698	0	0	0	75	228487
NC	Wood	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	10734.4	20	113914
ND	Electricity	0.005	0	0	0.176701	0.787888	0.030411	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	190	183698	190	183698
ND	Fuel Oil	0	0	0	0	0	0	0.285263	0.169796	0.54494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	799.048	604	2.62044e+06
ND	Natural Gas	0	0	0	0	0	0	0	0	0	0.164064	0.786077	0.0498599	0	0	0	0	0	0	0	0	0	0	0	0	121	112823	121	112823
ND	Other Fuel	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	13	65186.3
ND	Propane	0	0	0	0	0	0	0	0	0	0	0	0	0	0.162487	0.593077	0.244436	0	0	0	0	0	0	0	0	18	17101.9	18	17101.9
ND	Solar Thermal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.227327	0.0246546	0.573234	0.00403585	0.00710105	0.0289493	0.134698	0	1	1150.18	75	228487
ND	Wood	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	20	113914
NE	Electricity	0.005	0	0	0.0829157	0.851899	0.0601855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	254476	59	254476
NE	Fuel Oil	0	0	0	0	0	0	0.285263	0.169796	0.54494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	604	2.62044e+06
NE	Natural Gas	0	0	0	0	0	0	0	0	0	0.15677	0.833392	0.00983769	0	0	0	0	0	0	0	0	0	0	0	0	126	493892	126	493892
NE	Other Fuel	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	13	65186.3
NE	Propane	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0885494	0.798514	0.112936	0	0	0	0	0	0	0	0	4	16833.6	96	383196
NE	Solar Thermal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.227327	0.0246546	0.573234	0.00403585	0.00710105	0.0289493	0.134698	0	0	0	75	228487
NE	Wood	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	20	113914
NH	Electricity	0.005	0	0	0.215042	0.719968	0.0599908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	204243	66	204243
NH	Fuel Oil	0	0	0	0	0	0	0.37775	0.108005	0.514245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	119014	39	119014
NH	Natural Gas	0	0	0	0	0	0	0	0	0	0.0486324	0.858048	0.0933195	0	0	0	0	0	0	0	0	0	0	0	0	36	119910	36	119910
NH	Other Fuel	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	13	65186.3
NH	Propane	0	0	0	0	0	0	0	0	0	0	0	0	0	0.172696	0.548517	0.278788	0	0	0	0	0	0	0	0	33	91855.1	33	91855.1
NH	Solar Thermal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.227327	0.0246546	0.573234	0.00403585	0.00710105	0.0289493	0.134698	0	0	0	75	228487
NH	Wood	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	3421.56	11	45165.9
NJ	Electricity	0.005	0	0	0.196717	0.767517	0.0307655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108	869033	108	869033
NJ	Fuel Oil	0	0	0	0	0	0	0.274742	0.112274	0.612983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	110499	16	110499
NJ	Natural Gas	0	0	0	0	0	0	0	0	0	0.179273	0.750995	0.0697323	0	0	0	0	0	0	0	0	0	0	0	0	325	2.36289e+06	325	2.36289e+06
NJ	Other Fuel	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	13	65186.3
NJ	Propane	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0694201	0.703054	0.227526	0	0	0	0	0	0	0	0	7	51566	69	491028
NJ	Solar Thermal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.227327	0.0246546	0.573234	0.00403585	0.00710105	0.0289493	0.134698	0	0	0	75	228487
NJ	Wood	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	11	45165.9
NM	Electricity	0.005	0	0	0.0967361	0.680446	0.217817	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	155069	34	155069
NM	Fuel Oil	0	0	0	0	0	0	0.254068	0.235338	0.510595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	71070.5
NM	Natural Gas	0	0	0	0	0	0	0	0	0	0.255781	0.702405	0.0418145	0	0	0	0	0	0	0	0	0	0	0	0	127	551121	127	551121
NM	Other Fuel	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	13	65186.3
NM	Propane	0	0	0	0	0	0	0	0	0	0	0	0	0	0.315459	0.60628	0.0782611	0	0	0	0	0	0	0	0	17	80863.1	17	80863.1
NM	Solar Thermal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.22673	0.0245899	0.571729	0	0.012253	0.0303538	0.134345	0	0	0	61	132417
NM	Wood	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	20	113914
NV	Electricity	0.005	0	0	0.152316	0.802816	0.0398688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	312659	60	312659
NV	Fuel Oil	0	0	0	0	0	0	0.254068	0.235338	0.510595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	71070.5
NV	Natural Gas	0	0	0	0	0	0	0	0	0	0.232216	0.703766	0.0640182	0	0	0	0	0	0	0	0	0	0	0	0	159	767925	159	767925
NV	Other Fuel	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	13	65186.3
NV	Propane	0	0	0	0	0	0	0	0	0	0	0	0	0	0.297597	0.499143	0.20326	0	0	0	0	0	0	0	0	12	58825	12	58825
NV	Solar Thermal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.22673	0.0245899	0.571729	0	0.012253	0.0303538	0.134345	0	0	0	61	132417
NV	Wood	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	20	113914
NY	Electricity	0.005	0	0	0.230439	0.72074	0.0438208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	244	2.10806e+06	244	2.10806e+06
NY	Fuel Oil	0	0	0	0	0	0	0.238225	0.230835	0.530941	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99	825150	99	825150
NY	Natural Gas	0	0	0	0	0	0	0	0	0	0.19526	0.751772	0.0529679	0	0	0	0	0	0	0	0	0	0	0	0	517	4.27676e+06	517	4.27676e+06
NY	Other Fuel	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	13	65186.3
NY	Propane	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0554031	0.710609	0.233988	0	0	0	0	0	0	0	0	40	274157	40	274157
NY	Solar Thermal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.227327	0.0246546	0.573234	0.00403585	0.00710105	0.0289493	0.134698	0	2	20722.3	75	228487
NY	Wood	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	16269.9	11	45165.9
OH	Electricity	0.005	0	0	0.222982	0.741093	0.0309254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	125	1.78181e+06	125	1.78181e+06
OH	Fuel Oil	0	0	0	0	0	0	0.285263	0.169796	0.54494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	19087.4	604	2.62044e+06
OH	Natural Gas	0	0	0	0	0	0	0	0	0	0.132124	0.852856	0.0150206	0	0	0	0	0	0	0	0	0	0	0	0	197	2.71276e+06	197	2.71276e+06
OH	Other Fuel	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	13	65186.3
OH	Propane	0	0	0	0	0	0	0	0	0	0	0	0	0	0.108634	0.608307	0.283059	0	0	0	0	0	0	0	0	16	225347	16	225347
OH	Solar Thermal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.227327	0.0246546	0.573234	0.00403585	0.00710105	0.0289493	0.134698	0	0	0	75	228487
OH	Wood	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	20	113914
OK	Electricity	0.005	0	0	0.169297	0.795458	0.0302444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97	677438	97	677438
OK	Fuel Oil	0	0	0	0	0	0	0.0539114	0.0644831	0.881606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	93083.8
OK	Natural Gas	0	0	0	0	0	0	0	0	0	0.142613	0.817402	0.0399847	0	0	0	0	0	0	0	0	0	0	0	0	124	744359	124	744359
OK	Other Fuel	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	13	65186.3
OK	Propane	0	0	0	0	0	0	0	0	0	0	0	0	0	0.206747	0.631478	0.161775	0	0	0	0	0	0	0	0	11	71035.8	11	71035.8
OK	Solar Thermal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.227327	0.0246546	0.573234	0.00403585	0.00710105	0.0289493	0.134698	0	0	0	75	228487
OK	Wood	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	20	113914
OR	Electricity	0.03	0	0	0.213623	0.742454	0.0139223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	193	1.07223e+06	193	1.07223e+06
OR	Fuel Oil	0	0	0	0	0	0	0.191887	0.3599	0.448213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	46472.8
OR	Natural Gas	0	0	0	0	0	0	0	0	0	0.161243	0.767115	0.0716417	0	0	0	0	0	0	0	0	0	0	0	0	113	544792	113	544792
OR	Other Fuel	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	13	65186.3
OR	Propane	0	0	0	0	0	0	0	0	0	0	0	0	0	0.300673	0.521608	0.17772	0	0	0	0	0	0	0	0	7	37132.3	57	514543
OR	Solar Thermal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.225093	0.0244123	0.567602	0	0.0142406	0.0352778	0.133375	0	0	0	56	113935
OR	Wood	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	20	113914
PA	Electricity	0.005	0	0	0.219632	0.743872	0.0314959	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	277	2.2848e+06	277	2.2848e+06
PA	Fuel Oil	0	0	0	0	0	0	0.30953	0.141518	0.548952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	292930	36	292930
PA	Natural Gas	0	0	0	0	0	0	0	0	0	0.0916509	0.871993	0.0363559	0	0	0	0	0	0	0	0	0	0	0	0	278	2.35556e+06	278	2.35556e+06
PA	Other Fuel	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	13480.4	13	65186.3
PA	Propane	0	0	0	0	0	0	0	0	0	0	0	0	0	0.114322	0.629445	0.256233	0	0	0	0	0	0	0	0	22	165305	22	165305
PA	Solar Thermal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.227327	0.0246546	0.573234	0.00403585	0.00710105	0.0289493	0.134698	0	1	9914.37	75	228487
PA	Wood	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	6406.19	11	45165.9
RI	Electricity	0.005	0	0	0.234686	0.671546	0.0887686	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	109254	49	109254
RI	Fuel Oil	0	0	0	0	0	0	0.39434	0.120025	0.485635	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	81064.9	45	81064.9
RI	Natural Gas	0	0	0	0	0	0	0	0	0	0.197129	0.715459	0.0874121	0	0	0	0	0	0	0	0	0	0	0	0	92	214648	92	214648
RI	Other Fuel	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	13	65186.3
RI	Propane	0	0	0	0	0	0	0	0	0	0	0	0	0	0.123695	0.576797	0.299508	0	0	0	0	0	0	0	0	4	11962.2	154	345720
RI	Solar Thermal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.227327	0.0246546	0.573234	0.00403585	0.00710105	0.0289493	0.134698	0	0	0	75	228487
RI	Wood	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1759.62	11	45165.9
SC	Electricity	0.005	0	0	0.214245	0.743335	0.0374198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	254	1.52374e+06	254	1.52374e+06
SC	Fuel Oil	0	0	0	0	0	0	0.0697573	0.0834363	0.846806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	71939.1
SC	Natural Gas	0	0	0	0	0	0	0	0	0	0.3169	0.457274	0.225826	0	0	0	0	0	0	0	0	0	0	0	0	73	404696	73	404696
SC	Other Fuel	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	13	65186.3
SC	Propane	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0953087	0.473714	0.430977	0	0	0	0	0	0	0	0	7	42100.2	87	595434
SC	Solar Thermal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.227327	0.0246546	0.573234	0.00403585	0.00710105	0.0289493	0.134698	0	0	0	75	228487
SC	Wood	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	20	113914
SD	Electricity	0.005	0	0	0.213219	0.720926	0.0608541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	165861	85	165861
SD	Fuel Oil	0	0	0	0	0	0	0.285263	0.169796	0.54494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	604	2.62044e+06
SD	Natural Gas	0	0	0	0	0	0	0	0	0	0.130248	0.805849	0.0639031	0	0	0	0	0	0	0	0	0	0	0	0	87	158583	87	158583
SD	Other Fuel	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	13	65186.3
SD	Propane	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0971777	0.590683	0.312139	0	0	0	0	0	0	0	0	11	21981.2	11	21981.2
SD	Solar Thermal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.227327	0.0246546	0.573234	0.00403585	0.00710105	0.0289493	0.134698	0	0	0	75	228487
SD	Wood	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	20	113914
TN	Electricity	0.005	0	0	0.234329	0.740739	0.0199326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	367	1.97179e+06	367	1.97179e+06
TN	Fuel Oil	0	0	0	0	0	0	0.0539114	0.0644831	0.881606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	93083.8
TN	Natural Gas	0	0	0	0	0	0	0	0	0	0.156995	0.71159	0.131415	0	0	0	0	0	0	0	0	0	0	0	0	128	633855	128	633855
TN	Other Fuel	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	13	65186.3
TN	Propane	0	0	0	0	0	0	0	0	0	0	0	0	0	0.105342	0.681274	0.213384	0	0	0	0	0	0	0	0	10	51870.7	10	51870.7
TN	Solar Thermal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.227327	0.0246546	0.573234	0.00403585	0.00710105	0.0289493	0.134698	0	0	0	75	228487
TN	Wood	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	20	113914
TX	Electricity	0.005	0	0	0.255495	0.701603	0.0379023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	532	5.56133e+06	532	5.56133e+06
TX	Fuel Oil	0	0	0	0	0	0	0.0539114	0.0644831	0.881606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	21144.7	18	93083.8
TX	Natural Gas	0	0	0	0	0	0	0	0	0	0.2161	0.722728	0.0611721	0	0	0	0	0	0	0	0	0	0	0	0	448	4.35311e+06	448	4.35311e+06
TX	Other Fuel	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	13	65186.3
TX	Propane	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0999043	0.644587	0.255509	0	0	0	0	0	0	0	0	34	319821	34	319821
TX	Solar Thermal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.227327	0.0246546	0.573234	0.00403585	0.00710105	0.0289493	0.134698	0	0	0	75	228487
TX	Wood	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	20	113914
UT	Electricity	0.005	0	0	0.0846151	0.910385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	160546	23	160546
UT	Fuel Oil	0	0	0	0	0	0	0.254068	0.235338	0.510595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	71070.5
UT	Natural Gas	0	0	0	0	0	0	0	0	0	0.159043	0.809114	0.0318429	0	0	0	0	0	0	0	0	0	0	0	0	163	859576	163	859576
UT	Other Fuel	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	13	65186.3
UT	Propane	0	0	0	0	0	0	0	0	0	0	0	0	0	0.16692	0.6694	0.16368	0	0	0	0	0	0	0	0	2	19874.7	40	146537
UT	Solar Thermal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.22673	0.0245899	0.571729	0	0.012253	0.0303538	0.134345	0	0	0	61	132417
UT	Wood	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	20	113914
VA	Electricity	0.005	0	0	0.157353	0.812226	0.0254215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	275	2.04104e+06	275	2.04104e+06
VA	Fuel Oil	0	0	0	0	0	0	0.0697573	0.0834363	0.846806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	21090.9	16	71939.1
VA	Natural Gas	0	0	0	0	0	0	0	0	0	0.111829	0.793661	0.0945096	0	0	0	0	0	0	0	0	0	0	0	0	154	1.05468e+06	154	1.05468e+06
VA	Other Fuel	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	13	65186.3
VA	Propane	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0944304	0.53669	0.368879	0	0	0	0	0	0	0	0	19	125206	19	125206
VA	Solar Thermal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.227327	0.0246546	0.573234	0.00403585	0.00710105	0.0289493	0.134698	0	0	0	75	228487
VA	Wood	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	20	113914
VT	Electricity	0.005	0	0	0.290002	0.681012	0.0239852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	92606	87	92606
VT	Fuel Oil	0	0	0	0	0	0	0.181685	0.131666	0.686649	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	58330.2	53	58330.2
VT	Natural Gas	0	0	0	0	0	0	0	0	0	0.113911	0.775546	0.110543	0	0	0	0	0	0	0	0	0	0	0	0	51	54895.3	51	54895.3
VT	Other Fuel	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	13	65186.3
VT	Propane	0	0	0	0	0	0	0	0	0	0	0	0	0	0.163292	0.615715	0.220993	0	0	0	0	0	0	0	0	52	51077.9	52	51077.9
VT	Solar Thermal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.227327	0.0246546	0.573234	0.00403585	0.00710105	0.0289493	0.134698	0	1	922.14	75	228487
VT	Wood	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	992.428	11	45165.9
WA	Electricity	0.03	0	0	0.248168	0.688662	0.0331702	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	257	1.8359e+06	257	1.8359e+06
WA	Fuel Oil	0	0	0	0	0	0	0.191887	0.3599	0.448213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	46472.8
WA	Natural Gas	0	0	0	0	0	0	0	0	0	0.202945	0.679374	0.117681	0	0	0	0	0	0	0	0	0	0	0	0	168	1.01322e+06	168	1.01322e+06
WA	Other Fuel	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	13	65186.3
WA	Propane	0	0	0	0	0	0	0	0	0	0	0	0	0	0.23709	0.546984	0.215926	0	0	0	0	0	0	0	0	13	82102.8	13	82102.8
