Dependency=Census Division RECS	Dependency=Geometry Building Type RECS	Dependency=Geometry Floor Area Bin	Dependency=Geometry Foundation Type	Dependency=Geometry Stories Low Rise	Dependency=Vintage ACS	Option=1 Car	Option=2 Car	Option=3 Car	Option=None	source_count	source_weight	fallback_count	fallback_weight
East North Central	Single-Family Attached	1500-2499	Heated Basement	3	1940-59	0	0	0	1	0	0	10	43021.8
East North Central	Single-Family Attached	2500-3999	Heated Basement	3	1940-59	0	0	0	1	0	0	4	10697.5
East North Central	Single-Family Attached	4000+	Heated Basement	3	1940-59	0	0	0	1	0	0	0	0
East North Central	Single-Family Attached	0-1499	Heated Basement	4+	1940-59	0	0	0	1	1	2266.55	14	55558.2
East North Central	Single-Family Attached	1500-2499	Heated Basement	4+	1940-59	0	0	0	1	0	0	10	43021.8
East North Central	Single-Family Attached	2500-3999	Heated Basement	4+	1940-59	0	0	0	1	0	0	4	10697.5
East North Central	Single-Family Attached	4000+	Heated Basement	4+	1940-59	0	0	0	1	0	0	0	0
East North Central	Single-Family Detached	0-1499	Heated Basement	1	1940-59	0.168398	0	0	0.831602	36	219251	36	219251
East North Central	Single-Family Detached	1500-2499	Heated Basement	1	1940-59	0.224815	0.182256	0	0.592929	74	439120	74	439120
East North Central	Single-Family Detached	2500-3999	Heated Basement	1	1940-59	0.170277	0.3961	0	0.433623	40	220034	40	220034
East North Central	Single-Family Detached	4000+	Heated Basement	1	1940-59	0.155329	0.24431	0.322309	0.278052	8	51498.1	15	92948.4
East North Central	Single-Family Detached	0-1499	Heated Basement	2	1940-59	0.0328056	0	0	0.967194	21	76354	21	76354
East North Central	Single-Family Detached	1500-2499	Heated Basement	2	1940-59	0.0298732	0.120595	0	0.849532	84	260296	84	260296
East North Central	Single-Family Detached	2500-3999	Heated Basement	2	1940-59	0.187299	0.250855	0	0.561846	41	119572	41	119572
East North Central	Single-Family Detached	4000+	Heated Basement	2	1940-59	0.209904	0.560144	0.0830404	0.146911	11	38852.5	11	38852.5
East North Central	Single-Family Detached	0-1499	Heated Basement	3	1940-59	0	0	0	1	0	0	172	1.27371e+06
East North Central	Single-Family Detached	1500-2499	Heated Basement	3	1940-59	0.109716	0.148459	0	0.741825	0	0	343	2.4153e+06
East North Central	Single-Family Detached	2500-3999	Heated Basement	3	1940-59	0.134168	0.262281	0	0.603551	1	1944.14	163	1.08968e+06
East North Central	Single-Family Detached	4000+	Heated Basement	3	1940-59	0.114207	0.438871	0.138537	0.308385	1	1968.02	41	262823
East North Central	Single-Family Detached	0-1499	Heated Basement	4+	1940-59	0	0	0	1	0	0	172	1.27371e+06
East North Central	Single-Family Detached	1500-2499	Heated Basement	4+	1940-59	0.109716	0.148459	0	0.741825	0	0	343	2.4153e+06
East North Central	Single-Family Detached	2500-3999	Heated Basement	4+	1940-59	0.134168	0.262281	0	0.603551	0	0	163	1.08968e+06
East North Central	Single-Family Detached	4000+	Heated Basement	4+	1940-59	0.114207	0.438871	0.138537	0.308385	0	0	41	262823
