Input Name,Input Description,Data Type
build_existing_model.emissions_fossil_fuel_units,"Fossil fuel emissions factors units. If multiple scenarios, use a comma-separated list. Only lb/MBtu and kg/MBtu are allowed.",string
build_existing_model.emissions_fuel_oil_values,"Fuel oil emissions factors values, specified as an annual factor. If multiple scenarios, use a comma-separated list.",string
build_existing_model.emissions_natural_gas_values,"Natural gas emissions factors values, specified as an annual factor. If multiple scenarios, use a comma-separated list.",string
build_existing_model.emissions_propane_values,"Propane emissions factors values, specified as an annual factor. If multiple scenarios, use a comma-separated list.",string
build_existing_model.emissions_scenario_names,"Names of emissions scenarios. If multiple scenarios, use a comma-separated list.",string
build_existing_model.emissions_types,"Types of emissions (e.g., CO2e, NOx, etc.). If multiple scenarios, use a comma-separated list.",string
build_existing_model.emissions_wood_values,"Wood emissions factors values, specified as an annual factor. If multiple scenarios, use a comma-separated list.",string
build_existing_model.simulation_control_run_period_begin_day_of_month,This numeric field should contain the starting day of the starting month (must be valid for month) for the annual run period desired.,int
build_existing_model.simulation_control_run_period_begin_month,"This numeric field should contain the starting month number (1 = January, 2 = February, etc.) for the annual run period desired.",int
build_existing_model.simulation_control_run_period_calendar_year,"This numeric field should contain the calendar year that determines the start day of week. If you are running simulations using AMY weather files, the value entered for calendar year will not be used; it will be overridden by the actual year found in the AMY weather file.",int
build_existing_model.simulation_control_run_period_end_day_of_month,This numeric field should contain the ending day of the ending month (must be valid for month) for the annual run period desired.,int
build_existing_model.simulation_control_run_period_end_month,"This numeric field should contain the end month number (1 = January, 2 = February, etc.) for the annual run period desired.",int
build_existing_model.simulation_control_timestep,Value must be a divisor of 60.,int
build_existing_model.utility_bill_detailed_filepaths,"Relative paths of detailed utility rates. Paths are relative to the resources folder. If multiple scenarios, use a comma-separated list. Files must contain the name of the Parameter as the column header.",string
build_existing_model.utility_bill_electricity_filepaths,"Electricity tariff file specified as an absolute/relative path to a file with utility rate structure information. Tariff file must be formatted to OpenEI API version 7. If multiple scenarios, use a comma-separated list.",string
build_existing_model.utility_bill_electricity_fixed_charges,"Electricity utility bill monthly fixed charges. If multiple scenarios, use a comma-separated list.",string
build_existing_model.utility_bill_electricity_marginal_rates,"Electricity utility bill marginal rates. If multiple scenarios, use a comma-separated list.",string
build_existing_model.utility_bill_fuel_oil_fixed_charges,"Fuel oil utility bill monthly fixed charges. If multiple scenarios, use a comma-separated list.",string
build_existing_model.utility_bill_fuel_oil_marginal_rates,"Fuel oil utility bill marginal rates. If multiple scenarios, use a comma-separated list.",string
build_existing_model.utility_bill_natural_gas_fixed_charges,"Natural gas utility bill monthly fixed charges. If multiple scenarios, use a comma-separated list.",string
build_existing_model.utility_bill_natural_gas_marginal_rates,"Natural gas utility bill marginal rates. If multiple scenarios, use a comma-separated list.",string
build_existing_model.utility_bill_propane_fixed_charges,"Propane utility bill monthly fixed charges. If multiple scenarios, use a comma-separated list.",string
build_existing_model.utility_bill_propane_marginal_rates,"Propane utility bill marginal rates. If multiple scenarios, use a comma-separated list.",string
build_existing_model.utility_bill_pv_compensation_types,"Utility bill PV compensation types. If multiple scenarios, use a comma-separated list.",string
build_existing_model.utility_bill_pv_feed_in_tariff_rates,"Utility bill PV annual full/gross feed-in tariff rates. Only applies if the PV compensation type is 'FeedInTariff'. If multiple scenarios, use a comma-separated list.",string
build_existing_model.utility_bill_pv_monthly_grid_connection_fee_units,"Utility bill PV monthly grid connection fee units. If multiple scenarios, use a comma-separated list.",string
build_existing_model.utility_bill_pv_monthly_grid_connection_fees,"Utility bill PV monthly grid connection fees. If multiple scenarios, use a comma-separated list.",string
build_existing_model.utility_bill_pv_net_metering_annual_excess_sellback_rate_types,"Utility bill PV net metering annual excess sellback rate types. Only applies if the PV compensation type is 'NetMetering'. If multiple scenarios, use a comma-separated list.",string
