zipcode,zipcode_city,zipcode_state,zipcode_latitude,zipcode_longitude,zipcode_energystar_zone,zipcode_iecc_zone,zipcode_utc_offset,station_wmo,station_distance,station_name,station_state,station_altitude,station_latitude,station_longitude,station_filename
01041,Holyoke,MA,42.2043,-72.6167,northern,5A,-5,744910,6.911004723,Chicopee Falls West,MA,74,42.2,-72.533,USA_MA_Chicopee.Falls-Westover.AFB.744910_TMY3.epw
01054,Leverett,MA,42.4786,-72.4839,northern,5A,-5,744910,31.24065903,Chicopee Falls West,MA,74,42.2,-72.533,USA_MA_Chicopee.Falls-Westover.AFB.744910_TMY3.epw
01056,Ludlow,MA,42.1924,-72.4583,northern,5A,-5,744910,6.211442347,Chicopee Falls West,MA,74,42.2,-72.533,USA_MA_Chicopee.Falls-Westover.AFB.744910_TMY3.epw
01057,Monson,MA,42.089,-72.3226,northern,5A,-5,744910,21.28958086,Chicopee Falls West,MA,74,42.2,-72.533,USA_MA_Chicopee.Falls-Westover.AFB.744910_TMY3.epw
01059,North Amherst,MA,42.3738,-72.5205,northern,5A,-5,744910,19.35301381,Chicopee Falls West,MA,74,42.2,-72.533,USA_MA_Chicopee.Falls-Westover.AFB.744910_TMY3.epw
01060,Northampton,MA,42.3296,-72.6251,northern,5A,-5,744910,16.28224774,Chicopee Falls West,MA,74,42.2,-72.533,USA_MA_Chicopee.Falls-Westover.AFB.744910_TMY3.epw
01062,Florence,MA,42.3249,-72.6582,northern,5A,-5,744910,17.29262343,Chicopee Falls West,MA,74,42.2,-72.533,USA_MA_Chicopee.Falls-Westover.AFB.744910_TMY3.epw
01063,Northampton,MA,42.3182,-72.6376,northern,5A,-5,744910,15.71134104,Chicopee Falls West,MA,74,42.2,-72.533,USA_MA_Chicopee.Falls-Westover.AFB.744910_TMY3.epw
01066,North Hatfield,MA,42.4107,-72.6253,northern,5A,-5,744910,24.62765365,Chicopee Falls West,MA,74,42.2,-72.533,USA_MA_Chicopee.Falls-Westover.AFB.744910_TMY3.epw
01069,Palmer,MA,42.1774,-72.2801,northern,5A,-5,744910,20.98702685,Chicopee Falls West,MA,74,42.2,-72.533,USA_MA_Chicopee.Falls-Westover.AFB.744910_TMY3.epw
01072,Shutesbury,MA,42.4779,-72.4152,northern,5A,-5,744910,32.38242694,Chicopee Falls West,MA,74,42.2,-72.533,USA_MA_Chicopee.Falls-Westover.AFB.744910_TMY3.epw
01075,South Hadley,MA,42.2564,-72.5775,northern,5A,-5,744910,7.263279419,Chicopee Falls West,MA,74,42.2,-72.533,USA_MA_Chicopee.Falls-Westover.AFB.744910_TMY3.epw
01079,Thorndike,MA,42.1968,-72.3271,northern,5A,-5,744910,16.96490474,Chicopee Falls West,MA,74,42.2,-72.533,USA_MA_Chicopee.Falls-Westover.AFB.744910_TMY3.epw
01080,Three Rivers,MA,42.1755,-72.3784,northern,5A,-5,744910,13.025518,Chicopee Falls West,MA,74,42.2,-72.533,USA_MA_Chicopee.Falls-Westover.AFB.744910_TMY3.epw
01081,Wales,MA,42.0621,-72.2143,northern,5A,-5,744910,30.42730079,Chicopee Falls West,MA,74,42.2,-72.533,USA_MA_Chicopee.Falls-Westover.AFB.744910_TMY3.epw
01082,Ware,MA,42.2735,-72.2794,northern,5A,-5,744910,22.4204802,Chicopee Falls West,MA,74,42.2,-72.533,USA_MA_Chicopee.Falls-Westover.AFB.744910_TMY3.epw
01088,West Hatfield,MA,42.3927,-72.6478,northern,5A,-5,744910,23.41537835,Chicopee Falls West,MA,74,42.2,-72.533,USA_MA_Chicopee.Falls-Westover.AFB.744910_TMY3.epw
01092,West Warren,MA,42.2001,-72.2038,northern,5A,-5,744910,27.11739023,Chicopee Falls West,MA,74,42.2,-72.533,USA_MA_Chicopee.Falls-Westover.AFB.744910_TMY3.epw
01093,Whately,MA,42.4399,-72.6353,northern,5A,-5,744910,27.97020637,Chicopee Falls West,MA,74,42.2,-72.533,USA_MA_Chicopee.Falls-Westover.AFB.744910_TMY3.epw
01095,Wilbraham,MA,42.1269,-72.4307,northern,5A,-5,744910,11.71168819,Chicopee Falls West,MA,74,42.2,-72.533,USA_MA_Chicopee.Falls-Westover.AFB.744910_TMY3.epw
01101,Springfield,MA,42.0991,-72.5881,northern,5A,-5,744910,12.10422284,Chicopee Falls West,MA,74,42.2,-72.533,USA_MA_Chicopee.Falls-Westover.AFB.744910_TMY3.epw
01102,Springfield,MA,42.115,-72.539,northern,5A,-5,744910,9.464499773,Chicopee Falls West,MA,74,42.2,-72.533,USA_MA_Chicopee.Falls-Westover.AFB.744910_TMY3.epw
01103,Springfield,MA,42.1025,-72.5916,northern,5A,-5,744910,11.86907993,Chicopee Falls West,MA,74,42.2,-72.533,USA_MA_Chicopee.Falls-Westover.AFB.744910_TMY3.epw
01104,Springfield,MA,42.1337,-72.5666,northern,5A,-5,744910,7.875163043,Chicopee Falls West,MA,74,42.2,-72.533,USA_MA_Chicopee.Falls-Westover.AFB.744910_TMY3.epw
01105,Springfield,MA,42.0995,-72.5786,northern,5A,-5,744910,11.79043739,Chicopee Falls West,MA,74,42.2,-72.533,USA_MA_Chicopee.Falls-Westover.AFB.744910_TMY3.epw
01108,Springfield,MA,42.0811,-72.5578,northern,5A,-5,744910,13.378267,Chicopee Falls West,MA,74,42.2,-72.533,USA_MA_Chicopee.Falls-Westover.AFB.744910_TMY3.epw
01109,Springfield,MA,42.1176,-72.5486,northern,5A,-5,744910,9.252251791,Chicopee Falls West,MA,74,42.2,-72.533,USA_MA_Chicopee.Falls-Westover.AFB.744910_TMY3.epw
01111,Springfield,MA,42.1173,-72.5479,northern,5A,-5,744910,9.277473631,Chicopee Falls West,MA,74,42.2,-72.533,USA_MA_Chicopee.Falls-Westover.AFB.744910_TMY3.epw
01115,Springfield,MA,42.1029,-72.5917,northern,5A,-5,744910,11.83182946,Chicopee Falls West,MA,74,42.2,-72.533,USA_MA_Chicopee.Falls-Westover.AFB.744910_TMY3.epw
01116,Longmeadow,MA,42.0647,-72.5131,northern,5A,-5,744910,15.13390396,Chicopee Falls West,MA,74,42.2,-72.533,USA_MA_Chicopee.Falls-Westover.AFB.744910_TMY3.epw
01118,Springfield,MA,42.095,-72.5238,northern,5A,-5,744910,11.70007731,Chicopee Falls West,MA,74,42.2,-72.533,USA_MA_Chicopee.Falls-Westover.AFB.744910_TMY3.epw
01119,Springfield,MA,42.1247,-72.5112,northern,5A,-5,744910,8.563603691,Chicopee Falls West,MA,74,42.2,-72.533,USA_MA_Chicopee.Falls-Westover.AFB.744910_TMY3.epw
01128,Springfield,MA,42.0951,-72.4878,northern,5A,-5,744910,12.2451178,Chicopee Falls West,MA,74,42.2,-72.533,USA_MA_Chicopee.Falls-Westover.AFB.744910_TMY3.epw
01129,Springfield,MA,42.122,-72.4869,northern,5A,-5,744910,9.469040314,Chicopee Falls West,MA,74,42.2,-72.533,USA_MA_Chicopee.Falls-Westover.AFB.744910_TMY3.epw
